"Story","Title","Result","Date","Stability","Duration (s)"
"Case Stori","case one","SUCCESS","2022-07-11T10:59:51.245-05:00[America/Bogota]","0.0","11.59"
"Case Stori","case two","SUCCESS","2022-07-11T11:00:03.58-05:00[America/Bogota]","0.0","11.27"
"Case Stori","case three","SUCCESS","2022-07-11T11:00:16.414-05:00[America/Bogota]","0.0","10.92"
"Case Stori","case four","SUCCESS","2022-07-11T11:00:28.092-05:00[America/Bogota]","0.0","30.18"
"Case Stori","case five","SUCCESS","2022-07-11T11:00:59.058-05:00[America/Bogota]","0.0","21.6"
"Case Stori","case six","ERROR","2022-07-11T11:01:21.377-05:00[America/Bogota]","0.0","10.54"
"Case Stori","case seven","SUCCESS","2022-07-11T11:01:33.425-05:00[America/Bogota]","0.0","9.98"
"Case Stori","case eight","SUCCESS","2022-07-11T11:01:44.122-05:00[America/Bogota]","0.0","13.83"
"Case Stori","case nine","SUCCESS","2022-07-11T11:01:58.696-05:00[America/Bogota]","0.0","15.5"
